,img_path,caption
81,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000552354.jpg,There are two children eating slices of pizza.
82,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000552354.jpg,Two children eating pizza together and dressed up in costume clothing.
83,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000552354.jpg,Two children eating pizza at a table with a blue table cloth.
84,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000552354.jpg,A young boy and girl are sitting eating pizza together
85,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000240102.jpg,A man standing on top of a lush green field.
86,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000240102.jpg,a few people in a field playing frisbee
87,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000240102.jpg,a man standing in the park while holding onto a frisbee 
88,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000240102.jpg,a man standing in the grass holding a frisby
89,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000240102.jpg,A person with a Frisbee on a field.
90,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000318631.jpg,A man is staring at a camera with a toothbrush in his mouth. 
91,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000318631.jpg,a close up of a person with a tooth brush in his mouth
92,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000318631.jpg,A man brushing his teeth with a blue toothbrush.
93,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000318631.jpg,A man with a straw in his mouth and an obscure look.
94,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000318631.jpg,staring white man has toothbrush in his mouth
95,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000480948.jpg,Decorative and colorful vases fill the table up.
96,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000480948.jpg,"Handmade vases, all the same size but all different colors."
97,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000480948.jpg,Many differently colored pots are displayed for sale.
98,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000480948.jpg,There are a few dozen vases for sale. 
99,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000480948.jpg,a close up of many vases near one another
100,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000216449.jpg,Mom and her daughters are having dinner together.
101,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000216449.jpg,A woman sitting at a table eating with two kids.
102,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000216449.jpg,A woman sits at a table eating with her children on either side of her.
103,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000216449.jpg,A family sitting together enjoying a meal. 
104,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000216449.jpg,A woman and two children sitting  at a table eating.
105,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000121088.jpg,Black and white cat looking out of an inside window.
106,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000121088.jpg,a cat sitting in a window and looking outside.
107,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000121088.jpg,A black and white cat is sitting in a window.
108,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000121088.jpg,A window shows a black and white cat look out the screen.
109,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000121088.jpg,This is a picture of a cat looking out of a window.
110,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000165063.jpg,Two women sitting on the city steps under an umbrella.
111,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000165063.jpg,"two women with a basket sitting at the bottom of the stairs
"
112,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000165063.jpg,Two women in colorful ethnic clothing sit on the steps under a yellow umbrella.
113,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000165063.jpg,Two women sitting outdoors with a basket and umbrella
114,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000165063.jpg,Two women sit on stone steps and smile at the camera
115,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000221400.jpg,A set of cutting devices sitting inside of a display case.
116,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000221400.jpg,Several types of scissors and scalpels in a display case.
117,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000221400.jpg,A view of of some old cutting instruments on display.
118,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000221400.jpg,pictures of ancient surgical equipment in a museum exhibit
119,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000221400.jpg,There are four old cutting tools on display.
120,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000366713.jpg,A bed sitting next to a brown table with a lamp on top of it.
121,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000366713.jpg,"A bed next to a desk with binoculars, book and lamp."
122,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000366713.jpg,A bed with three pillows and a night stand with book and binoculars
123,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000366713.jpg,Some binoculars and a book on a night stand
124,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000366713.jpg,"A bedroom that has a bed and wooden night stand with a lamp on it, a book and binoculars."
125,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000253937.jpg,A person on a skateboard riding down a hand rail.
126,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000253937.jpg,there is a male skater riding down a stair way ramp
127,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000253937.jpg,A person on roller skates does a trick.
128,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000253937.jpg,A man rides down a railing on a pair of roller blades.
129,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000253937.jpg,A teenaged boy performs a trick on his skateboard on top of a metal handrail next to concrete stairs.
130,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000474545.jpg,A group of zebras that are standing in the grass.
131,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000474545.jpg,Three zebras that are walking near a body of water.
132,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000474545.jpg,Three zebras walking along a river near a grassland.
133,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000474545.jpg,A herd of zebra standing along side of a river.
134,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000474545.jpg,Three zebra stand in a grassy field next to a small body of water.
135,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000388412.jpg,There are two computers right next to each other
136,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000388412.jpg,A newer laptop is on the desk near a desktop. 
137,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000388412.jpg,A personal computer and a laptop are sitting on a desk with a few books.
138,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000388412.jpg,A desktop and laptop computer sit side by side on a desk.
139,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000388412.jpg,A desk with a laptop and a computer on it.
140,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000339913.jpg,A couple of men standing on the outside of a bus.
141,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000339913.jpg,The two men are posing for a picture outside of a bus.
142,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000339913.jpg,Two men standing near an open bus door.
143,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000339913.jpg,Older couple of men posing out front of city bus in street.
144,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000339913.jpg,some people and a red white and blue bus
145,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000194742.jpg,The owner of this bathroom keeps a Wired Magazine handy.
146,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000194742.jpg,A Wired magazine placed above a toilet in a small bathroom.
147,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000194742.jpg,A magazine on the back of a toilet in a small bathroom.
148,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000194742.jpg,A toilet with a wired magazine on top of it's tank.
149,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000194742.jpg,The magazine is on the back of the toilet in the bathroom.
150,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000478522.jpg,A man on a surfboard over the water.
151,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000478522.jpg,A man is standing on a surfboard and hangliding in the ocean.
152,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000478522.jpg,a man holding onto something while riding a board above the water
153,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000478522.jpg,The brave parasailor is making a valient effort.
154,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000478522.jpg,"A man para-sails, with large waves in the background."
155,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000232047.jpg,a red double decker bus parked at a bus stop in the city
156,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000232047.jpg,The city buses have pulled over on the side of the street. 
157,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000232047.jpg,There is a red double decker bus on the street
158,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000232047.jpg,A red double decker bus parked on the side of a street.
159,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000232047.jpg,A street lined with buildings and red double deck buses.
160,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000427750.jpg,A man takes something out of an oven in a well organized kitchen.
161,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000427750.jpg,A man is taking something out of the oven. 
162,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000427750.jpg,a guy cooking in a kitchen with something in the oven
163,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000427750.jpg,there is a man in the kitchen taking something out the oven
164,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000427750.jpg,A person putting some food into the oven.
165,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000512974.jpg,A wii computer game system on a desk with computer in background.
166,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000512974.jpg,A set of Nintendo Wii game controllers sitting next to a Nintendo Wii.
167,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000512974.jpg,A Wii video game system sitting on a glass desktop.
168,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000512974.jpg,a desk some books a speaker and a video game system
169,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000512974.jpg,Two white gaming systems with controllers and games.
170,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000384475.jpg,A photo of a subway with people and a train.
171,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000384475.jpg,A man and a woman waiting on a subway platform for an approaching train.
172,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000384475.jpg,The black and white picture of man and woman at the subway station with train pulling into the station.
173,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000384475.jpg,A train with passengers is passing by some onlookers.
174,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000384475.jpg,Two people on a subway train platform with a white and black train on the track.
175,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000512506.jpg,A group of people standing around on top of a blue tennis court.
176,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000512506.jpg,Tennis players standing on the court talking to each other
177,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000512506.jpg,A tennis player on a court speaking with a man and a ball catcher standing off to the side.
178,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000512506.jpg,tennis players on the court talking to the ref
179,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000512506.jpg,The three people are standing on the same side of the tennis net.
180,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000129656.jpg,A long train coming down the railroad tracks.
181,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000129656.jpg,A yellow and blue train passing by trees and other tracks.
182,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000129656.jpg,A full view of a train traveling on a railroad on a wonderful day. 
183,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000129656.jpg,A train traveling on the train tracks through the countryside.
184,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000129656.jpg,A freight train headed toward its destination. 
185,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000378901.jpg,The cat is intently looking for its owner.
186,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000378901.jpg,A cat sitting outside looking inside through a window.
187,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000378901.jpg,A cat looks through a window while standing outside on a patio.
188,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000378901.jpg,A cat sitting in front of a window looking inside.
189,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000378901.jpg,a white cat looking through the window very scared
190,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000291333.jpg,the stuffed animal section of a store is stuffed with merchandise.
191,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000291333.jpg,there is a large variety of stuffed animals 
192,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000291333.jpg,"In the first picture there are stuffed sea animals, in the second there are stuffed monkeys, in the third there are stuffed tigers and elephants, and in the fourth there are stuffed dogs."
193,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000291333.jpg,A bunch of Totoro stuffed toys fill up this display table
194,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000291333.jpg,Several images of varied stuffed animals are shown.
195,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000568948.jpg,A woman standing next to a machine that's next to a box.
196,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000568948.jpg,An Asian woman standing next to a new Samsung refrigerator.
197,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000568948.jpg,A woman showing off a new appliance for a kitchen.
198,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000568948.jpg,A girl is posing by something that was just taken out of the box.
199,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000568948.jpg,a female standing next to a large black object which is next to a card board box
200,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000027389.jpg,Teenager in sunglasses on a board in the park poses
201,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000027389.jpg,A girl makes a face and stands on a structure.
202,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000027389.jpg,A woman is standing on a board in the middle of the park.
203,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000027389.jpg,THERE IS A WOMAN THAT IS STANDING ON THE STREET 
204,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000027389.jpg,A girl on a surfboard that is on the ground 
205,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000310748.jpg,A large brown bear walking through a lush green forest.
206,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000310748.jpg,A bear sitting in the  woods next to a pine tree
207,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000310748.jpg,A bear eating berries off a bush in the wild.
208,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000310748.jpg,A bear sits and looks at the ground in the forest.
209,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000310748.jpg,A big ole mama grizzly in the wilderness
210,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000466742.jpg,"A small bathroom with a vanity, toilet and tub"
211,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000466742.jpg,a shower curtain with some colorful fish on the side of it 
212,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000466742.jpg,Bathroom with white cabinetry and a fish themed shower curtain
213,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000466742.jpg,a bathroom with a shower sink and toilet sitting on a hardwood floor
214,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000466742.jpg,A bathroom that has a shower curtain with fish on it and a white sink and toilet.
215,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000081004.jpg,A black and white photo has two baseball players.
216,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000081004.jpg,Two young boys are preparing for a play at a ball game.
217,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000081004.jpg,A couple of baseball players are playing ball while a crowd looks on. 
218,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000081004.jpg,Baseball players stand in the field awaiting the play.
219,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000081004.jpg,Two baseball players look on awaiting the pitch to be made
220,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000374966.jpg,Several skateboarders at a skateboard park skateboarding while others watch.
221,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000374966.jpg,A group of boys on skateboards riding around.
222,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000374966.jpg,A group of people skateboarding in park area next to palm trees.
223,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000374966.jpg,A bunch of kids at a skate park on skate boards.
224,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000374966.jpg,A skate park with several children playing on skateboards
225,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000561203.jpg,two people going through the snow on skis
226,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000561203.jpg,there are two skiers that are going down the hill
227,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000561203.jpg,A man riding skis down a snow covered slope.
228,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000561203.jpg,A man and a child skiing down a mountain on a trail.
229,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000561203.jpg,two snow skiers one in a red jacket and trees
